"Key","SourceString"
"FFr_F237557F.DisplayName","Untitled flow fragment (03)"
"FFr_F237557F.Text","Goctor says Grancis insisted upon leaving at once to the south."
"FFr_032D023E.DisplayName","Untitled flow fragment (03)"
"FFr_032D023E.Text","weird branch where goctor admits he often saw grancis speaking of Guncle to galia making her miss guncle more and more."
"FFr_84FAE3B8.DisplayName","Untitled flow fragment (03)"
"FFr_84FAE3B8.Text","So why is Guncle a hero?"
"FFr_395D6174.DisplayName","Untitled flow fragment (03)"
"FFr_395D6174.Text","Because he won the caldarians the war, and taught us how to make divine dishes in a kinder fashion."
"FFr_DE120481.DisplayName","Untitled flow fragment (03)"
"FFr_DE120481.Text","Kinder fashion?"
"FFr_1D172DF5.DisplayName","Untitled flow fragment (03)"
"FFr_1D172DF5.Text","Goctor says there was only one specific way of getting divine dishes before we new of divine techniques. Galia would do all she could to stave off barbaric actions."
"FFr_6F894283.DisplayName","Untitled flow fragment (03)"
"FFr_6F894283.Text","I found this note saying she returned to the festival."
"FFr_1F58F640.DisplayName","Untitled flow fragment (03)"
"FFr_1F58F640.Text","Goctor is heartbroken and will speak no further."
"FFr_59E604C4.DisplayName","Untitled flow fragment (03)"
"FFr_59E604C4.Text","How?"
"FFr_25646D73.DisplayName","Untitled flow fragment (03)"
"FFr_25646D73.Text","Goctor locks up and says nothing else."
"FFr_81C8784C.DisplayName","Untitled flow fragment (03)"
"FFr_81C8784C.Text","End"
"FFr_6CAC4D98.DisplayName","Untitled flow fragment (03)"
"FFr_6CAC4D98.Text","How"
"FFr_0659AC73.DisplayName","Untitled flow fragment"
"FFr_0659AC73.Text","Use dialogue 1.2 for the statue and the two perspectives of caldaria guncle with one perspective, grancis with the other."
"FFr_18CEACC4.DisplayName","Untitled flow fragment"
"FFr_18CEACC4.Text","outline eldritch goddess"
"FFr_8EC820B8.DisplayName","Untitled flow fragment"
"FFr_8EC820B8.Text","outline beautiful goddess"
"FFr_1EBCF9B6.DisplayName","Untitled flow fragment"
"FFr_1EBCF9B6.Text","They saw the first statue and fell into the pit guncle breaking his leg."
"FFr_0C3BF0B1.DisplayName","Untitled flow fragment"
"FFr_0C3BF0B1.Text","(have goctor pause here)"
"FFr_6954C294.DisplayName","Untitled flow fragment"
"FFr_6954C294.Text","Goctor is hesitant to continue on all and is overcome with emotions but describes the statue and the vines trapping guncle."
"FFr_7C5D4F7B.DisplayName","Untitled flow fragment"
"FFr_7C5D4F7B.Text","outlines the riddle - player can respond to what they think the riddle meant. If they guess correctly it allows for passage into the what did they do section"
"FFr_54BD9C5F.DisplayName","Untitled flow fragment"
"FFr_54BD9C5F.Text","Goctor and Ghunte can have a lil back an forth where the player acts tough and learns about the vines. (Guncle western jungle?)"
"FFr_87CA555C.DisplayName","Untitled flow fragment"
"FFr_87CA555C.Text","Explains the hunger and the madness that overcame grancis and his obsession with the idea of caldaria- explains the incident at the end with guncle losing leg and being found by the river and grancis was nowhere to be seen."
"FFr_5BDE4E44.DisplayName","Untitled flow fragment (02)"
"FFr_74E0267F.DisplayName","Untitled flow fragment (02)"
"FFr_7EF22A4B.DisplayName","Untitled flow fragment (02)"
"FFr_E8B0916B.DisplayName","Untitled flow fragment (02)"
"Dlg_46FB26F5.DisplayName","Tutorial Dialogue 2"
"Dlg_46FB26F5.Text",""
"Dlg_C2741DEB.DisplayName","Day 1 Dialogue"
"Dlg_C2741DEB.Text","Dialogue from Day 1 Introducing Gavern and the Mayor's trials."
"Dlg_E55E8BD4.DisplayName","Day 2 Dialogue"
"Dlg_E55E8BD4.Text","Dialogue from Day 2 Introducing Gooker and Gailor."
"Dlg_16F1F729.DisplayName","Day 3 Dialogue"
"Dlg_16F1F729.Text","Dialogue from Day 3 Introducing Gmith."
"Dlg_4A216B26.DisplayName","Day 4 Dialogue"
"Dlg_4A216B26.Text","Dialogue Day 4 The Archbishop's Trials."
"Dlg_B47BA9BE.DisplayName","Day 5 Dialogue"
"Dlg_B47BA9BE.Text","Dialogue Day 5 The Royal Order for the king."
"Dlg_B2667CC1.DisplayName","Gavern Day 3 Dialogue"
"Dlg_B2667CC1.Text",""
"Dlg_8DF9734E.DisplayName","Gailor Day 2 Dialogue"
"Dlg_1B79F998.DisplayName","Gavern Dialogue 1.0"
"Dlg_1B79F998.Text","“I want to know about you and my current situation.”"
"Dlg_F66C872F.DisplayName","Gavern Dialogue 1.1"
"Dlg_F66C872F.Text","“What are those statues in the forest?”"
"Dlg_1E51377B.DisplayName","Gavern Dialogue 1.2"
"Dlg_1E51377B.Text","“So what is this game you were talking about?”"
"Dlg_E4B59DFB.DisplayName","Goctor Dialogue 1.0"
"Dlg_E4B59DFB.Text","“Tell me about yourself.”"
"Dlg_1F72D17E.DisplayName","Goctor Dialogue 1.1"
"Dlg_1F72D17E.Text","“Grancis was involved with Guncle's injury!”"
"Dlg_7FB656DA.DisplayName","Gailor Dialogue 1.0"
"Dlg_7FB656DA.Text","“Tell me about yourself.”"
"Dlg_A3672CAF.DisplayName","Gailor Dialogue 1.1"
"Dlg_A3672CAF.Text","“I found this note that mentioned you!"
"Dlg_70B88429.DisplayName","Gmith Dialogue 1.0"
"Dlg_70B88429.Text","“Did you know my Guncle?”"
"Dlg_2C1EEA6E.DisplayName","Goctor Dialogue 1.2"
"Dlg_2C1EEA6E.Text","Half Baked: Requires polish"
"Dlg_4ED0FB70.DisplayName","Gailor Dialogue 1.2"
"Dlg_4ED0FB70.Text","“I found a note talking about Guncle doing a dance with a Basilisk.”"
"Dlg_A42AD46B.DisplayName","Gmith Dialogue 1.1"
"Dlg_A42AD46B.Text","“How did Caldarianism begin?"
"Dlg_0F635627.DisplayName","Gmith Dialogue 1.2"
"Dlg_0F635627.Text","Guncle is dead."
"Dlg_8FAFBA3F.DisplayName","Gavern Dialogue 1.4"
"Dlg_8FAFBA3F.Text","“Is Guncle connected to the kings illness?”"
"Dlg_98059056.DisplayName","Goctor Day 2 Dialogue"
"Dlg_E6961FAD.DisplayName","Gmith Day 3 Dialogue"
"Dlg_5F531EE4.DisplayName","Gavern Day 1 Dialogue"
"Dlg_27C71EA2.DisplayName","Gavern Day 2 Dialogue"
"Dlg_DB801460.DisplayName","Gavern Day 4 Dialogue"
"Dlg_DB801460.Text",""
"Dlg_AEB5C6C4.DisplayName","Gavern Day 5 Dialogue"
"Dlg_AEB5C6C4.Text",""
"Dlg_E2D9579D.DisplayName","Gailor Day 3 Dialogue"
"Dlg_C5856904.DisplayName","Gailor Day 4 Dialogue"
"Dlg_7055D940.DisplayName","Gailor Day 5 Dialogue"
"Dlg_7055D940.Text",""
"Dlg_AFF9B4DA.DisplayName","Goctor Day 3 Dialogue"
"Dlg_C1BA54D9.DisplayName","Goctor Day 4 Dialogue"
"Dlg_39194F88.DisplayName","Goctor Day 5 Dialogue"
"Dlg_39194F88.Text",""
"Dlg_BFAF2DDE.DisplayName","Gmith Day 4 Dialogue"
"Dlg_BFAF2DDE.Text",""
"Dlg_512D110B.DisplayName","Gmith Day 5 Dialogue"
"Dlg_512D110B.Text",""
"Dlg_A85FAD3A.DisplayName","Gooker Failed Main Order"
"Dlg_A85FAD3A.Text",""
"Dlg_BFAB6BB1.DisplayName","Gavern Failed Main Order"
"Dlg_42844CB0.DisplayName","Gailor Failed Main Order"
"Dlg_A7263BF6.DisplayName","Goctor Failed Main Order"
"Dlg_B6AB2494.DisplayName","Gmith Failed Main Order"
"Dlg_363CC99A.DisplayName","Goctor Satisfaction Bar Level 1 text"
"Dlg_363CC99A.Text",""
"Dlg_44235C13.DisplayName","Gavern Satisfaction Bar Level 2 Text"
"Dlg_44235C13.Text",""
"Dlg_7F892973.DisplayName","Gailor Satisfaction Bar Level 1 text"
"Dlg_7F892973.Text",""
"Dlg_87CB2DB6.DisplayName","Gmith Satisfaction Bar Level 1 Text"
"Dlg_87CB2DB6.Text",""
"Dlg_758CB6C2.DisplayName","Goctor Satisfaction Bar Level 2 text"
"Dlg_758CB6C2.Text",""
"Dlg_EC3C1685.DisplayName","Gavern Satisfaction Bar Level 1 Text"
"Dlg_EC3C1685.Text",""
"Dlg_69D74B5F.DisplayName","Gailor Satisfaction Bar Level 2 text"
"Dlg_69D74B5F.Text",""
"Dlg_0C338615.DisplayName","Gmith Satisfaction Bar Level 2 Text"
"Dlg_0C338615.Text",""
"Dlg_110D12AC.DisplayName","Goctor Satisfaction Bar Level 3 text"
"Dlg_110D12AC.Text",""
"Dlg_4B7B4BA5.DisplayName","Gavern Satisfaction Bar Level 3 Text"
"Dlg_4B7B4BA5.Text",""
"Dlg_65D03C7D.DisplayName","Gailor Satisfaction Bar Level 3 text"
"Dlg_65D03C7D.Text",""
"Dlg_D4BEC05F.DisplayName","Gmith Satisfaction Bar Level 3 Text"
"Dlg_D4BEC05F.Text",""
"Dlg_1B5A593F.DisplayName","Gailor Dialogue 1.3"
"Dlg_1B5A593F.Text","I found a note from Guncle saying he poisoned the king!"
"Dlg_7BB166C6.DisplayName","Goctor Dialogue 1.3"
"Dlg_7BB166C6.Text","I found a note about Grancis doing a dance with a basilisk."
"Dlg_3512128D.DisplayName","Gavern Satisfaction Bar Level 4 Text"
"Dlg_3512128D.Text",""
"Dlg_10D81675.DisplayName","Gailor Satisfaction Bar Level 4 text"
"Dlg_10D81675.Text",""
"Dlg_6237FFC9.DisplayName","Tutorial Dialogue 1"
"Dlg_6237FFC9.Text",""
"Dlg_C2B3DAE1.DisplayName","Gavern Dialogue 1.3"
"Dlg_C2B3DAE1.Text","“What is the nature of these visions?"
"Dlg_5603774D.DisplayName","Tutorial Dialogue 3"
"Dlg_5603774D.Text",""
"Dlg_6158A4C5.DisplayName","Gavern Day 0 Dialogue"
"Dlg_6158A4C5.Text",""
"Dlg_B01D9C8D.DisplayName","Day 6 Dialogue"
"Dlg_B01D9C8D.Text","Dialogue Day 6 The End"
"Dlg_B9115041.DisplayName","Day 2 Dialogue Death"
"Dlg_B9115041.Text","Dialogue from Day 2 Introducing Gooker and Gailor."
"Dlg_7F1E266C.DisplayName","Day 3 Dialogue Death"
"Dlg_7F1E266C.Text","Dialogue from Day 3 Introducing Gmith."
"Dlg_BF392770.DisplayName","Day 4 Dialogue Death"
"Dlg_BF392770.Text","Dialogue Day 4 The Archbishop's Trials."
"Dlg_D050111D.DisplayName","Day 5 Dialogue Death"
"Dlg_D050111D.Text","Dialogue Day 5 The Royal Order for the king."
"Dlg_6EC88C60.DisplayName","Day 6 Dialogue Death"
"Dlg_6EC88C60.Text","Dialogue Day 6 The End"
"DFr_4F92BE66.Text","“Well done on bringing me that Grilled Gamusino! In other news, Gavern has awoken from his nap...”"
"DFr_DB551349.Text","“I shall give you a quick briefing of the tavern before your next assignment.”"
"DFr_5BCA9867.Text","CONTINUE."
"DFr_F82301B6.Text","“Fantastically done my dear Ghunter, slightly overcooked for my liking but Hey Ho! Moving on, we must get your dishes to our kings royal banquet, but to do so is no easy feat.”"
"DFr_AAF8D27D.Text","“So, Mayor Gureau is expecting a dish from us tonight. This Test of Taste should be very easy. Bring me these specific recipes from Guncles recipe book.”"
"DFr_A1C778FE.Text","“So, it is of the utmost importance that we place well in every Test of Taste. Any Questions?”"
"DFr_02614280.Text","“You must climb the ranks of our kingdom's Gnomechefs! Our Mayor Gureau is Holding a Test of Taste. Winning this regional competition will decide which GnomeChefs can participate in the Archbishops national competition. If we please the Archbishop, he will make us a candidate in the Royal Competition!”"
"DFr_2A25CD95.Text","“Fantastic stuff.”"
"DFr_56AB6D66.Text","“Is pride or heroism not enough of a reward for you?! I shall provide your cleaver with an upgrade, but only If you succeed in bringing back the royal order.”"
"DFr_09A00D86.Text","“That's the spirit! When you succeed in bringing back the order, I shall provide your cleaver with an upgrade”"
"DFr_FF37A7CE.Text","“By providing the tastiest, holiest, and most enlightening dish! If you make EXACTLY what I command, I guarantee you victory!”"
"DFr_A5397D06.Text","“To save our King. The saviour and founder of Garcosa!”"
"DFr_16E0B89B.Text","“The greatest healers of the land have achieved little in aiding his recovery. We suspect that our goddess Caldaria has been slighted, so is punishing us. In light of this problem there have been changes to the frequency of royal banquets.”"
"DFr_ED93E906.Text","“Our greatest gnomechefs send these divine dishes to the royal banquet. We hope the visions they will provide may please Caldaria so she cures our king.”"
"DFr_2662C3B6.Text","“The very nature of our world is inside a cosmic cauldron. We are destined to be consumed. All gnomes should celebrate this cycle of life-to-dish by seeking out and creating the greatest delicacies in the land. If prepared correctly they gain divine properties!”"
"DFr_363EC671.Text","“That is the art of being a Gnomechef! If you hunt a creature using divine techniques, the dish created allows the one who consumes it to commune with Caldaria herself!”"
"DFr_E9BA96FC.Text","“If you combine various ingredients on a live animal before its death, the flavours mix with its flesh. This act of life-to-dish is what makes the plate divine!”"
"DFr_7D4E30D7.Text","“Exactly, If you follow my recipes the dishes will also have a great taste! This further elevates the power of their vision!”"
"DFr_6385D144.Text","“Think of it what you will Ghunter.”"
"DFr_EEFCE91D.Text","“Caldaria has spoken unto her humble witnesses her divine will, the world is a broth, its continents ripened floating ingredients. We must have faith in her strength and divine wisdom!”"
"DFr_91807803.Text","“-and may her broth guide us all!”"
"DFr_04FF2450.Text","“Marvellous stuff! You brought back exactly what I asked! I shall send this to Gureau's manor at once!”"
"DFr_A938AF90.Text","“In other news... It seems your Guncle's more... questionable acquaintances have returned from their trip to Zerrol. Back there is the tavern healer Goctor, as well as the weaver and craftsman Gailor.”"
"DFr_B961BA3E.Text","“So while we wait for Gureau to taste your dishes, I want you to go out and complete these orders for me. I shall use them to curry favour with an informant, intel is key my dear Ghunter!”"
"DFr_1C08A7B6.Text","“Oh and I almost forgot! Here is your upgrade to your Gleaver! You can now mash up creatures and make new recipes!”"
"DFr_5F9A0389.Text","“Yes they do. For centuries if I recall correctly. They may help in finding him, though be wary of speaking with the weaver Gailor.”"
"DFr_0568AE9E.Text","“Well, Gailor specifically is a heretic. He fought with the tribes during the Caldarian Conquest and should be in a prison cell. Our inquisition would soon enlighten him to our goddess. However Goctor has vouched for him, and his devout faith and reputation I cannot question. Despite that, be careful of what that flamboyant gnome tells you.”"
"DFr_B3D97B22.Text","“The statue blocking the entry to the festival should be opened by one of those recipes!”"
"DFr_039CB671.Text","“More than just famous.”"
"DFr_50B7C5D2.Text","“I have my ways of getting the true story heard, my dear Ghunter.”"
"DFr_81400E21.Text","“Winning the mayors competition in mere days has made people begin to murmur.”"
"DFr_DBC53A43.Text","“Murmurs that you are a holy Gnomechef. Chosen by Caldaria herself!”"
"DFr_493A3F53.Text","“With a carefully placed remark or two, I have gotten other Tavern-keepers to begin murmurs of your lineage!”"
"DFr_F079901E.Text","“To get the archbishop to do a Test of Taste with your delicacies. we are going to need more firepower, or should I say... waterpower  hee hee”"
"DFr_8E20457B.Text","“In other news Gmith an ally of mine and a prodigal tinkerer has heard of your rising fame. He arrived just after you left this morning.”"
"DFr_54183660.Text","“Hello Ghunter! Mayor Gureau was most pleased with your dish. He has entered us into Archbishop Gyre's preliminary test of taste for the Royal Competition.”"
"DFr_EEC7A866.Text","“I present to you the badge of Caldaria's Holy Water, this shall allow you to open any shrines that allow your Glunderbuss to use its Boil ammunition.  Go out an impress the Archbishop with this list of Divine dishes.”"
"DFr_FB93FAE0.Text","“The people of Gernik have not eaten cucafera in decades! Your orders have knocked it out the park!”"
"DFr_9D8709F6.Text","“It is an acquired taste but very hard to get a hold of outside of this province.”"
"DFr_FD27FCDE.Text","“Well your Guncle had grown reluctant to cook 'em. Said they had gotten timid since the great war and didn't pose a fight.”"
"DFr_B5FA9CAB.Text","“Moving on upwards and onwards, I present to you the final piece for your melee weapon, The Ghalberd!”"
"DFr_0173CC57.Text","“A complete waste of reputation if you ask me.”"
"DFr_2831E73A.Text","“Go get 'em tiger!”"
"DFr_66D3FDD9.Text","“You can now skewer enemies for new recipes and collect any winesap you find out in your adventures.”"
"DFr_5BF5F18F.Text","“I did it. I have actually done it. Holy broth!”"
"DFr_9600BE61.Text","“Ghunter. I did not just get us placed highly. I won us everything!”"
"DFr_516C9D0F.Text","“The Archbishop said he convened with Caldaria herself after a single morsel!!”"
"DFr_23EA8DD9.Text","“Yeeeeehaw baby wooohohohooo! I'm taking us all the way now!”"
"DFr_F6E9D58A.Text","“I said we though? I couldn't have done this without you.”"
"DFr_98404DAD.Text","“You must of misheard me from all the excitement!”"
"DFr_140C373C.Text","“I pulled every string available to me and got the crispiest, crunchiest intel on how we can heal the KING!”"
"DFr_EAA4941F.Text","“I present to you the Badge of Sacred Sizzle. Use it to enter the heart of the festival and make the divine dishes that will save our king!”"
"DFr_6532B05B.Text","“Of course they do! Why would they be telling the same story?”"
"DFr_48910C64.Text","“Life is confusing fella, no cutting corners when it comes to truth eh?”"
"DFr_6AA390D0.Text","“Each with a small piece of the grand puzzle!”"
"DFr_18FD4289.Text","“I am helpful, you just need to ask the right questions.”"
"DFr_89436777.Text","“Heyo! Our final resident has arrived! The stage is set for the grand finale. What are your thoughts on this beautiful conundrum?”"
"DFr_7DC67C3B.Text","“I am willing to tell you more, but only if you play a game with me.”"
"DFr_4328C92D.Text","“Make sure you talk to all the residents and get a feel for who they are, it is essential if you wanna win!”"
"DFr_969B2D63.Text","“Nice! Brevity is the nature of us all, mere flashes before the candlelight is snuffed out. To use our nature to be witty is very meta of you!”"
"DFr_FD291D05.Text","“The stage of life! The finale is my cracking punchline that shall leave the cosmos crying for joy, and laughing for sorrow!”"
"DFr_36B5EB19.Text","“Fine fine I get it dude! No need to be such a buzzkill...”"
"DFr_C4D21B16.Text","“....”"
"DFr_441AE73F.Text","“No I don't.”"
"DFr_476A651C.Text","“Ah but it's not as simple as that. You must ask questions to uncover their truths. From this you will see how they all fit into a singular image!”"
"DFr_9AE7410D.Text","“You must ask questions to uncover their truths. From this you will see how they all fit into a singular image!”"
"DFr_E43AFF4C.Text","“Thanks... It's hard for me to make friends. They come and go in a mere bat of an eye, keeping people at arms length is how I cope.”"
"DFr_4D23CDD6.Text","“Oh why hello darling! I haven't seen a young Gnomeo like you round here before...”"
"DFr_A14613BD.Text","“To what do I owe the pleasure?”"
"DFr_C31003B9.Text","“A man with great aspirations... I hope your ladle is as large as them.”"
"DFr_BB97F814.Text","“Oh, I do admire a man in uniform.”"
"DFr_D0DEF378.Text","“Yap away silly boy I've heard it all before.”"
"DFr_B0BB9E48.Text","..."
"DFr_3815DD48.Text","“Whatever you make from your heart it was gives me the flavour I desire.”"
"DFr_54369640.Text","*Laughter* “Oh the irony.”"
"DFr_A26BA790.Text","“Oh you will, don't worry about that.”"
"DFr_C0A730F6.Text","“Especially when it comes to the final royal order for the king.”"
"DFr_E2AAB1A1.Text","“Silly boy! what will make your dish divine will not come from any sauce or flesh.”"
"DFr_DD176BD9.Text","“Pawns have a tendency of promoting to royalty when the game allows for it.”"
"DFr_51414CBC.Text","“Mistakes for the desires of others yes. But profound truths of what you truly desire.”"
"DFr_ECC7719E.Text","“It is too early to tell. However I am more interested in seeing how your flavours change.”"
"DFr_2E190D69.Text","“Well my dear boy I am more interested in what naturally comes to you.”"
"DFr_C9E3229D.Text","“I can't wait to see how your flavours change as your learn about this place.”"
"DFr_9F6474E9.Text","“Hopefully you will learn this, otherwise my joke may fall flat.”"
"DFr_3DB4AAD3.Text","“He's a slimy old bastard. Been stuck as Mayor as Gernik has not won a royal competition in half a century.”"
"DFr_E19DD0E3.Text","“Gernik is a weak region, old news. It's plates won many competitions, but that's long ago now.”"
"DFr_A41E73EE.Text","“Current expansions into a new continent has provided new types of ingredients and creatures. The novelty makes those Gnomechefs hunt with a fervour that provides exquisite visions!”"
"DFr_5DCB308E.Text","“Countless, the last three hundred years has seen expansionism like never before. We have built vessels that can carry a thousand gnomes through our brothy seas. North of our Potato, beyond the towering Wooden Ladle, there is a land where the ground is orange and sweet.”"
"DFr_06BE918C.Text","“Gooker is a distant cousin of Gureau, he pulled some favours to get this position of Tavern-Keep. He hopes to win a royal competition to become Mayor of Gernik himself.”"
"DFr_29109C42.Text","“Tavern-Keeps require a strong network of alliances and spies, for experiments from other Hamlets must reach their ears. They will steal any divine recipes their rival Gnomechefs are discovering.”"
"DFr_5373CD2F.Text","“Gureau was promoted to Mayor of Gernik after stealing a recipe from a trusted ally.”"
"DFr_82A81EF8.Text","“Though I will say, Guncle does not take well to having his freedom of choice restricted. He's a culinary madman, experimenting and creating oddities is his jam. Gooker is anything but creative, he was very strict on what recipes Guncle should make. I think that may have played a part in his disappearance.”"
"DFr_F34F5BE3.Text","“I'm here cause I'm the heart of the tavern and the comedian of our world! I will have any extra plate you make and help you climb the greasy pole of Garcosa. Starting with Gureau!”"
"DFr_1C0ACE9C.Text","“So what would you like to know?”"
"DFr_A9DA1398.Text","“Exactly right, but now is not my time to elaborate further than that.”"
"DFr_78FC253E.Text","“I don't think there is much difference between being slimy and good at business.”"
"DFr_D5345E2C.Text","“Reserving judgement is a privilege, not a right, my dear Ghunter. In your case, its actually your main responsibility.”"
"DFr_65BFBD34.Text","“Gureau wants this as well, for if Gooker is promoted to Mayor of Gernik he will ascend to the role of bishop. Gureau would then attend all the feasts in Garcosas courts.”"
"DFr_3F6F577F.Text","“Well Gureau's ambition hasn't led him up the hierarchy. He's been stuck as Mayor of Gernik for over half a century.”"
"DFr_54FAF4B9.Text","“I agree! We have had over three hundred years of their non-stop yapping. They truly take the flavour out of life.”"
"DFr_690DAFBF.Text","“I assure you that you will, along with changing many other things.”"
"DFr_4D81EF80.Text","“Then karma is unjust, I cannot think of a bishop or archbishop that has gotten to their station without similar slimy tactics. Yet they are all happily feasting, every day of every week, in the royal courts.”"
"DFr_3344DEDD.Text","“I am indeed! Famous across space and time itself. Laughter for the entities beyond the metal rim, where only void lies for millions of miles.”"
"DFr_A040EA1A.Text","“Though I must say my humour is not meant for the likes of you.”"
"DFr_1A2D1638.Text","“Well we all have our own tastes when it comes to comedy.”"
"DFr_E9F402CE.Text","“I am glad you like it I am currently in the middle of a cracking joke.”"
"DFr_B3B9A818.Text","“Yes, for anyone who already owns a silver silver spoon.”"
"DFr_5CDBFDC7.Text","“Well spotted! You see Tavern-Keeps should be gnomes who are best fit for the job, yet the process of selection is heavily biased. Friends and family of those in power are deemed best fit because of their blood, not talent.”"
"DFr_A7808443.Text","“He or she retires to Garcosa and is given a lovely house. They are also allowed to attend all the royal feasts.”"
"DFr_2FC83A54.Text","“The way Gooker has run this tavern the last few months speaks for itself.”"
"DFr_059D1493.Text","“On top of that you get to save the king.” *wink*"
"DFr_12897794.Text","“Hey don't forget, on top of that you get to save the king.” *wink* “That's surely worth something.”"
"DFr_FA7F8219.Text","“Everything and nothing my dear boy.”"
"DFr_B2CD3921.Text","“Hmmm yes indeed! I think it might be up to you to find out what happened to him, instead of asking for handouts!”"
"DFr_38F10484.Text","“The Statues are homage to the great and divine goddess Caldaria. Built in her name and from her will.”"
"DFr_6DC74957.Text","“Offerings to the goddess during the civil war.”"
"DFr_82B9BA40.Text","“Caldarians built pyres where the statues stand and consumed divine flesh.”"
"DFr_7F7E8B02.Text","“Divine Dishes. But achieved without a plate. They used long skewers on the trapped creatures and pulled seared muscle from bone.”"
"DFr_52EB3F10.Text","“The writing is a riddle demanding a dish.”"
"DFr_A8F0D2AC.Text","“They are not only shrines but also barriers. To achieve the gifts they beyond their stone you must appease the Caldaria. The answer to her riddle contained within a recipe.”"
"DFr_3E9294AC.Text","“Quite! She is fond of attention. Though Caldarians are even fonder of giving her attention.”"
"DFr_2EAD4C8F.Text","“Indeed! Nothing like a bit of long pork on a flame.”"
"DFr_31C1CB8B.Text","“Non-believers.”"
"DFr_0F2DA729.Text","“Such a deed provided with invigorating and aggressive visions. Perfect for winning a war.”"
"DFr_19385DFB.Text","“Use your head you muppet! It's recipes of things you can find in the forest. It ain't hard.”"
"DFr_4916233B.Text","“Yes! Though their greatest treasures are not measured in material gain or loss.”"
"DFr_75405E14.Text","“Behind the statues you will learn things that may allow you to ask questions to the other residents.”"
"DFr_4745BB01.Text","“Well that depends on who you ask. The residents of this tavern have a deep connection to the land where you hunt. What you can learn from each willy vary greatly.”"
"DFr_0050FA28.Text","“You will learn about Culture and Tradition. You will witness a white dwarf, once a neutron star of immense gravity. It's light though dwindling, is the antithesis of Garcosa's cogs and wheels. If you truly search, you can discover the moment we shifted out of aeons of Harmonious Heresy.”"
"DFr_74D18105.Text","“You will learn about Connection and Faith. The connections one makes in their days are driven by the blind faith in their friends. This connection much like a string can be severed. In its place a new tendril reaches out, desperately searching for a hold. Vines strangle and drag, pulling each of us to an unknown light. This light blinds, leaving us with speckled spots in our sight. Faith is an anchor, it will always find a hold, no matter the depths or secrets of the abyss in which it searches.”"
"DFr_F2060275.Text","“The roles shall be inverted. In a meagre attempt to grasp at the curtain of Garcosa's stage, you will ask to see what lies behind. Yet the curtains are held by bars of bureaucratic steel. Gooker's responses will imitate the brochures found in every corner stands weekly gazette. Your answers will lie not in what ask, but in what you see in his mask. Faint cracks line his wry smile and eyes. the correct questions can serve as a chisel, chipping away and presenting the vile conditioning of one lost to The Clocktower.”"
"DFr_E199B13C.Text","“You will only find out if you don't wing it mate. The statues are the breadcrumb trail; and you are the fledgling that must peck it's way through this story.”"
"DFr_468D1809.Text","*He smirks as he waits for your response*"
"DFr_CF66E8F7.Text","“That's great! I certainly didn't understand what I said. I merely felt the currents of the broth and let them have the podium.”"
"DFr_BE14DBD9.Text","“It was not nonsense and it was helpful! Though that should become clear in time.”"
